circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PANCHAVATI COLONY,AGRICULTURAL,5,1,112.0,0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,POKALWADA,AGRICULTURAL,5,1,112.0,0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPAL GUDA,AGRICULTURAL,5,67,8.0,0,251.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPAL GUDA-I,AGRICULTURAL,5,16,112.0,0,60.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,HASTEPUR,AGRICULTURAL,5,37,36.0,0,138.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,HUSSAINPOOR,AGRICULTURAL,5,37,33.0,0,138.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,IBRAHIMPALLY,AGRICULTURAL,5,124,115.0,0,465.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,JALAGUDA,AGRICULTURAL,5,56,56.0,0,210.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KAMMETTA,AGRICULTURAL,5,351,336.0,0,1414.13
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KANDAWADA,AGRICULTURAL,5,592,579.0,625,2220.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,KOTHAPALLY,AGRICULTURAL,5,1,1.0,0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,ALIZA PUR,AGRICULTURAL,5,1,1.0,0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,GANDIPET,AGRICULTURAL,5,8,3.0,0,30.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KESARAM(C),AGRICULTURAL,5,156,153.0,0,591.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KHANAPOOR,AGRICULTURAL,5,201,196.0,0,750.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KISHTAPURI,AGRICULTURAL,5,41,39.0,0,153.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KOTHA PALLY,AGRICULTURAL,5,198,191.0,0,742.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KOWKUNTLA,AGRICULTURAL,5,207,203.0,0,776.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KUMMERA,AGRICULTURAL,5,183,181.0,0,687.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,IBRAHIMBAGH,AGRICULTURAL,5,1,112.0,0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KOKAPET,AGRICULTURAL,5,115,39.0,0,437.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KOKAPET - I,AGRICULTURAL,5,1,1.0,0,3.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,LAXMI GUDA,AGRICULTURAL,5,30,27.0,0,112.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MADI KATTA,AGRICULTURAL,5,27,27.0,0,99.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MALKAPOOR,AGRICULTURAL,5,285,272.0,0,1068.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MALLA REDDY GUDA,AGRICULTURAL,5,29,26.0,0,108.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MANDAGU,AGRICULTURAL,5,41,40.0,0,153.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MIRZAGUDA,AGRICULTURAL,5,39,30.0,0,144.75
